,Soil pH 1:1,"1:1 Electrical Conductivity, mmho/cm","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Total Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca",Soil Health Score,"Available N, lbs/A","Available P, lbs/A","Available K, lbs/A",1:1 Soil pH,1:1 Soluble Salt,Organic Matter,CO2-C,H3A Nitrate,H3A Ammonium,H3A Total Phosphorus,H3A ICAP Potassium,H3A ICAP Calcium,H3A ICAP Magnesium,Soil Health Calculation,Available N,Available P,Available K
Soil pH 1:1,1.0,0.2932773557460256,-0.650050936113822,-0.6676256465853324,-0.07102413880849272,-0.6055727511835582,-0.17830978460924327,-0.48245563040148337,0.8409833677483214,-0.7258331296958354,-0.08202332574292968,-0.18326821215644415,-0.4828241832503181,,,,,,,,,,,,,,
"1:1 Electrical Conductivity, mmho/cm",0.2932773557460256,1.0,-0.4618511790661572,-0.41319935984021106,0.7118235404410713,-0.35777948762807077,-0.04742011788012965,-0.33332580472221046,0.5883435127712301,-0.4654429136129293,0.7041744894779718,-0.04599449438291631,-0.3336327101070017,,,,,,,,,,,,,,
"Organic Matter, % LOI",-0.650050936113822,-0.4618511790661572,1.0,0.7759322079672597,-0.17779104010197153,0.4569598570038063,0.22231637665271092,0.5898298548164614,-0.7309035254477256,0.8713769021782983,-0.16990670548358963,0.22538147830863828,0.5898406636458999,,,,,,,,,,,,,,
"Soil Respiration, ppm CO2-C",-0.6676256465853324,-0.41319935984021106,0.7759322079672597,1.0,-0.09278900941631318,0.3867112488086944,0.06682821804928742,0.5117684486861245,-0.7235476160778341,0.952489246153398,-0.0761805992299962,0.07286789218533932,0.5117669278372243,,,,,,,,,,,,,,
"H3A Nitrate, ppm NO3-N",-0.07102413880849272,0.7118235404410713,-0.17779104010197153,-0.09278900941631318,1.0,-0.09477031252876676,0.019859747993922847,-0.005400068357769758,0.24258763681893733,-0.12021743117576164,0.9873472130938509,0.023628904923250284,-0.005717580937221264,,,,,,,,,,,,,,
"H3A Ammonium, ppm NH4-N",-0.6055727511835582,-0.35777948762807077,0.4569598570038063,0.3867112488086944,-0.09477031252876676,1.0,0.19990752914413148,0.4752024663181863,-0.6057305406630181,0.49820215188290395,-0.08689858670264791,0.20173279382083767,0.47508160796440896,,,,,,,,,,,,,,
"H3A Total Phosphorus, ppm P",-0.17830978460924327,-0.04742011788012965,0.22231637665271092,0.06682821804928742,0.019859747993922847,0.19990752914413148,1.0,0.2454644141996334,-0.2858093116640792,0.1260549257130432,-0.0028883294452717043,0.9997532892096737,0.2452437366024661,,,,,,,,,,,,,,
"H3A Potassium, ppm K",-0.48245563040148337,-0.33332580472221046,0.5898298548164614,0.5117684486861245,-0.005400068357769758,0.4752024663181863,0.2454644141996334,1.0,-0.6196281310584685,0.6018154483356237,0.006328763089287676,0.24710075385857438,0.9999742412482578,,,,,,,,,,,,,,
"H3A Calcium, ppm Ca",0.8409833677483214,0.5883435127712301,-0.7309035254477256,-0.7235476160778341,0.24258763681893733,-0.6057305406630181,-0.2858093116640792,-0.6196281310584685,1.0,-0.7949930117919204,0.236409130675758,-0.28874964043867885,-0.6199689782497572,,,,,,,,,,,,,,
Soil Health Score,-0.7258331296958354,-0.4654429136129293,0.8713769021782983,0.952489246153398,-0.12021743117576164,0.49820215188290395,0.1260549257130432,0.6018154483356237,-0.7949930117919204,1.0,-0.0974175487923,0.13077754207944867,0.6018889996511106,,,,,,,,,,,,,,
"Available N, lbs/A",-0.08202332574292968,0.7041744894779718,-0.16990670548358963,-0.0761805992299962,0.9873472130938509,-0.08689858670264791,-0.0028883294452717043,0.006328763089287676,0.236409130675758,-0.0974175487923,1.0,0.0018350285743320275,0.006005920886659106,,,,,,,,,,,,,,
"Available P, lbs/A",-0.18326821215644415,-0.04599449438291631,0.22538147830863828,0.07286789218533932,0.023628904923250284,0.20173279382083767,0.9997532892096737,0.24710075385857438,-0.28874964043867885,0.13077754207944867,0.0018350285743320275,1.0,0.2468795180594245,,,,,,,,,,,,,,
"Available K, lbs/A",-0.4828241832503181,-0.3336327101070017,0.5898406636458999,0.5117669278372243,-0.005717580937221264,0.47508160796440896,0.2452437366024661,0.9999742412482578,-0.6199689782497572,0.6018889996511106,0.006005920886659106,0.2468795180594245,1.0,,,,,,,,,,,,,,
1:1 Soil pH,,,,,,,,,,,,,,1.0,0.1943830790772914,-0.47018207311646637,-0.4128713081959033,-0.16279282556364522,-0.14606149912522437,0.04786711556262556,0.06699993955537052,0.7737682852391065,0.22438923530283172,-0.5181098534596444,-0.2922022547235401,0.0366969211834487,0.06699295327527267
1:1 Soluble Salt,,,,,,,,,,,,,,0.1943830790772914,1.0,-0.07779231032109944,-0.09733798751079795,0.1450215478612258,0.06161507583328594,0.08533988575316293,0.03444542966663726,0.3241313963559157,0.49769612371157845,-0.11599445944275613,0.09804442514951042,0.08322565091236873,0.03442748043271579
Organic Matter,,,,,,,,,,,,,,-0.47018207311646637,-0.07779231032109944,1.0,0.6656384015202329,0.10735023221673427,0.2901860884272031,0.04990490971891181,0.10814564958802995,-0.3066924914749569,0.28188186551865924,0.7555070909466921,0.34510300906830066,0.06286186088626526,0.10815129518912708
CO2-C,,,,,,,,,,,,,,-0.4128713081959033,-0.09733798751079795,0.6656384015202329,1.0,0.06806332428381236,0.13086082668905835,-0.04531037320922779,0.041717694176405855,-0.27830033928303116,0.0046913759989133845,0.9378973606420479,0.2041308540394756,-0.032889510131561765,0.041730057446190565
H3A Nitrate,,,,,,,,,,,,,,-0.16279282556364522,0.1450215478612258,0.10735023221673427,0.06806332428381236,1.0,0.3653048269259386,0.16982615779150692,0.09836983080725503,-0.05738943147439727,0.10067013992777506,0.09629601226573532,0.8062106411773451,0.16763934985366383,0.09834019757462706
H3A Ammonium,,,,,,,,,,,,,,-0.14606149912522437,0.06161507583328594,0.2901860884272031,0.13086082668905835,0.3653048269259386,1.0,0.09006276930004595,0.15624815682083634,-0.07689007298727747,0.10321445050230824,0.17991255306584034,0.6835962242681269,0.08997342679079197,0.1562520971501015
H3A Total Phosphorus,,,,,,,,,,,,,,0.04786711556262556,0.08533988575316293,0.04990490971891181,-0.04531037320922779,0.16982615779150692,0.09006276930004595,1.0,0.21973275891348645,-0.0929689749270309,0.14811307800569168,-0.02348654152217745,0.1345393079094724,0.998893820052754,0.21971041854733567
H3A ICAP Potassium,,,,,,,,,,,,,,0.06699993955537052,0.03444542966663726,0.10814564958802995,0.041717694176405855,0.09836983080725503,0.15624815682083634,0.21973275891348645,1.0,0.05802823547515942,0.11710309020395603,0.10009675386986865,0.11679776190736023,0.21501103751140396,0.999999782264126
H3A ICAP Calcium,,,,,,,,,,,,,,0.7737682852391065,0.3241313963559157,-0.3066924914749569,-0.27830033928303116,-0.05738943147439727,-0.07689007298727747,-0.0929689749270309,0.05802823547515942,1.0,0.2908900406308143,-0.3614235069555307,-0.14125040142278522,-0.10013555643427224,0.058020111417441796
H3A ICAP Magnesium,,,,,,,,,,,,,,0.22438923530283172,0.49769612371157845,0.28188186551865924,0.0046913759989133845,0.10067013992777506,0.10321445050230824,0.14811307800569168,0.11710309020395603,0.2908900406308143,1.0,0.06287688551436678,0.15152702407437804,0.14769462083029236,0.11709496964643883
Soil Health Calculation,,,,,,,,,,,,,,-0.5181098534596444,-0.11599445944275613,0.7555070909466921,0.9378973606420479,0.09629601226573532,0.17991255306584034,-0.02348654152217745,0.10009675386986865,-0.3614235069555307,0.06287688551436678,1.0,0.29286379824142134,-0.010222008147077398,0.1001102628748158
Available N,,,,,,,,,,,,,,-0.2922022547235401,0.09804442514951042,0.34510300906830066,0.2041308540394756,0.8062106411773451,0.6835962242681269,0.1345393079094724,0.11679776190736023,-0.14125040142278522,0.15152702407437804,0.29286379824142134,1.0,0.13634465169129562,0.11678152833009647
Available P,,,,,,,,,,,,,,0.0366969211834487,0.08322565091236873,0.06286186088626526,-0.032889510131561765,0.16763934985366383,0.08997342679079197,0.998893820052754,0.21501103751140396,-0.10013555643427224,0.14769462083029236,-0.010222008147077398,0.13634465169129562,1.0,0.21498889088441095
Available K,,,,,,,,,,,,,,0.06699295327527267,0.03442748043271579,0.10815129518912708,0.041730057446190565,0.09834019757462706,0.1562520971501015,0.21971041854733567,0.999999782264126,0.058020111417441796,0.11709496964643883,0.1001102628748158,0.11678152833009647,0.21498889088441095,1.0
