,count,mean,std,min,25%,50%,75%,max,missing_%
Soil pH 1:1,396.0,8.243434343434343,0.6865760383510305,4.9,8.1,8.5,8.6,9.0,89.08
"1:1 Electrical Conductivity, mmho/cm",396.0,0.9869191919191919,0.4889954606559555,0.07,0.7,0.9,1.3,3.1,89.08
"Organic Matter, % LOI",396.0,0.9928459595959596,1.0179221695690146,0.3,0.6,0.7,0.8,7.5,89.08
"Soil Respiration, ppm CO2-C",396.0,16.864191919191917,32.09452831796951,2.5,5.2,7.3,11.0,233.46,89.08
"H3A Nitrate, ppm NO3-N",396.0,22.12391414141414,25.190381077266895,0.1,5.3,12.5,30.825,177.0,89.08
"H3A Total Phosphorus, ppm P",396.0,17.995555555555555,42.93709868503047,2.0,4.0,10.129999999999999,19.0,625.3,89.08
"H3A Potassium, ppm K",396.0,53.02785353535353,38.03641009413717,8.0,29.0,48.0,60.0,305.37,89.08
"H3A Calcium, ppm Ca",396.0,2673.4109090909096,803.2493520166205,135.0,2764.5,2941.5,3076.0,3379.0,89.08
"H3A Magnesium, ppm Mg",49.0,158.0612244897959,123.40802208582737,40.0,88.0,116.0,175.0,552.71,98.65
Soil Health Score,396.0,3.540883838383838,3.952376433238188,1.09,1.84,2.24,2.8175,22.64,89.08
