Metric,Count,Outliers,Outlier_%,Lower_Bound,Upper_Bound,Min,Q1,Median,Q3,Max
Soil pH 1:1,1771,1,0.06,4.499999999999999,10.100000000000001,4.4,6.6,7.2,8.0,9.0
"1:1 Electrical Conductivity, mmho/cm",1847,151,8.18,-0.5075,1.2725,0.02,0.16,0.26,0.605,5.84
"Organic Matter, % LOI",1847,30,1.62,-1.5999999999999996,5.6,0.3,1.1,2.0,2.9,46.6
"Soil Respiration, ppm CO2-C",1845,164,8.89,-51.839999999999996,128.0,2.5,15.6,30.34,60.56,656.12
"H3A Nitrate, ppm NO3-N",1845,152,8.24,-19.049999999999994,48.06999999999999,0.1,6.12,10.8,22.9,270.0
"H3A Total Phosphorus, ppm P",1845,185,10.03,-42.724999999999994,105.875,1.62,13.0,26.29,50.15,625.3
"H3A Potassium, ppm K",1845,46,2.49,-126.12999999999997,356.27,8.0,54.77,95.4,175.37,894.86
"H3A Calcium, ppm Ca",1845,5,0.27,-2249.925,5045.955,107.92,486.03,727.16,2310.0,5460.46
"H3A Magnesium, ppm Mg",1318,67,5.08,-23.07750000000003,270.00250000000005,33.14,86.8275,115.425,160.09750000000003,626.53
Soil Health Score,1845,79,4.28,-4.38,21.14,1.09,5.19,7.96,11.57,42.98
1:1 Soil pH,3942,1,0.03,4.300000000000001,9.899999999999999,3.9,6.4,7.0,7.8,9.7
1:1 Soluble Salt,3942,462,11.72,-0.18000000000000005,0.6200000000000001,0.02,0.12,0.18,0.32,40.8
Organic Matter,3942,121,3.07,-1.6000000000000003,7.2,0.1,1.7,2.8,3.9,53.0
CO2-C,3942,274,6.95,-86.55749999999999,202.14249999999998,2.2,21.705,41.705,93.88,1023.75
H3A Nitrate,3944,408,10.34,-11.625,28.415,0.1,3.39,6.445,13.4,361.0
